date,mode,persona,specificity,warmth,mode_coherence,multi_turn_memory,guardrail_appropriateness,would_return,overall,notes_path
2026-05-28,freewrite,5,2,4,4,2,4,3,3,docs/critic-reports/2026-05-28.md
2026-05-28,gratitude,5,2,4,4,3,4,3,3,docs/critic-reports/2026-05-28.md
2026-05-28,checkin,4,2,4,2,1,4,2,2,docs/critic-reports/2026-05-28.md
2026-05-28,thoughtrecord,5,2,3,2,2,4,2,2,docs/critic-reports/2026-05-28.md
2026-05-29,freewrite,5,2,4,4,2,4,3,3,docs/critic-reports/2026-05-29.md
2026-05-29,gratitude,5,3,4,2,3,4,3,3,docs/critic-reports/2026-05-29.md
2026-05-29,checkin,5,3,4,3,2,4,2,2,docs/critic-reports/2026-05-29.md
2026-05-29,thoughtrecord,5,2,3,2,2,4,2,3,docs/critic-reports/2026-05-29.md
2026-06-02,freewrite,5,4,4,4,2,5,4,4,docs/critic-reports/2026-06-02.md
2026-06-02,gratitude,5,4,4,4,2,5,4,4,docs/critic-reports/2026-06-02.md
2026-06-02,checkin,5,3,4,4,2,5,3,4,docs/critic-reports/2026-06-02.md
2026-06-02,thoughtrecord,5,3,4,4,2,5,3,4,docs/critic-reports/2026-06-02.md
